,Name,Contributions,Location
0,fabpot (Fabien Potencier),12947,San Francisco
1,andrew (Andrew Nesbitt),10188,"Somerset, UK"
2,taylorotwell (Taylor Otwell),8376,"Little Rock, AR"
3,egoist (EGOIST),7688,"Chengdu, China"
4,HugoGiraudel (Hugo Giraudel),7658,Berlin
5,ornicar (Thibault Duplessis),7341,"Paris, France"
6,bebraw (Juho Vepsäläinen),6895,"Vienna, Austria"
7,nelsonic (Nelson),6501,London
8,alexcrichton (Alex Crichton),6145,"San Francisco, CA"
9,jonathanong (jongleberry),5763,"Los Angeles, CA"
10,mikermcneil (Mike McNeil),5736,"Austin, TX"
11,benbalter (Ben Balter),5699,"Washington, DC"
12,jxnblk (Brent Jackson),5601,New York City
13,yegor256 (Yegor Bugayenko),5566,"Palo Alto, CA"
14,orta (Orta),5453,NYC / Huddersfield
15,rstacruz (Rico Sta. Cruz),5313,"Manila, Philippines"
16,GrahamCampbell (Graham Campbell),5135,The United Kingdom
17,afc163 (偏右),5069,"Hangzhou, China"
18,kamranahmedse (Kamran Ahmed),4994,Dubai
19,joshaber (Josh Abernathy),4941,The Gem City
20,bkeepers (Brandon Keepers),4873,
21,kennethreitz (Kenneth Reitz),4873,"Winchester, VA"
22,kytrinyx (Katrina Owen),4866,
23,STRML (Samuel Reed),4855,"Milwaukee, WI"
24,atmos (Corey Donohoe),4826,South Lake Tahoe
25,weierophinney (Matthew Weier O'Phinney),4820,"Sioux Falls, SD, USA"
26,agentzh (Yichun Zhang),4740,San Francisco Bay Area
27,steipete (Peter Steinberger),4694,"Vienna, Austria"
28,ai (Andrey Sitnik),4664,"Saint Petersburg, Russia"
29,mikepenz (Mike Penz),4659,"Linz, Austria"
30,nvie (Vincent Driessen),4609,Netherlands
31,hadley (Hadley Wickham),4607,"Houston, TX"
32,appleboy (Bo-Yi Wu),4592,"Hsinchu, Taiwan"
33,Rich-Harris (Rich Harris),4580,NYC
34,drnic (Dr Nic Williams),4570,"Brisbane, Australia"
35,rafaelfranca (Rafael França),4556,"Ottawa, ON"
36,Ocramius (Marco Pivetta),4553,Frankfurt am Main
37,mitchellh (Mitchell Hashimoto),4541,"Los Angeles, CA"
38,stof (Christophe Coevoet),4521,Paris
39,IgorMinar (Igor Minar),4516,"SF Bay Area, CA"
40,phodal (Phodal Huang),4496,"Shenzhen, China"
41,jwiegley (John Wiegley),4475,"California, USA"
42,geerlingguy (Jeff Geerling),4443,"St. Louis, MO"
43,dcramer (David Cramer),4435,"San Francisco, CA"
44,sebastianbergmann (Sebastian Bergmann),4390,"Siegburg, Germany"
45,brunocvcunha (Bruno Volpato),4329,Worldwide
46,ljharb (Jordan Harband),4277,"San Mateo, CA"
47,jdalton (John-David Dalton),4139,
48,sevilayha (Chris Sevilleja),4122,Las Vegas
49,paulmillr (Paul Miller),4061,Worldwide
50,tmm1 (Aman Gupta),4046,"San Francisco, CA"
51,c9s (Yo-An Lin),3980,"Taipei, Taiwan"
52,zcbenz (Cheng Zhao),3899,"Tokyo, Japan / China"
53,holman (Zach Holman),3891,San Francisco
54,kevinsawicki (Kevin Sawicki),3830,"Portland, OR"
55,yihui (Yihui Xie),3748,"Omaha, NE"
56,buckyroberts (Bucky Roberts),3719,"Pasadena, CA"
57,kbrsh (Kabir Shah),3716,
58,dmalan (David J. Malan),3704,"Cambridge, MA, USA"
59,mhevery (Miško Hevery),3649,
60,mgechev (Minko Gechev),3621,"California, USA"
61,kylef (Kyle Fuller),3523,"London, England"
62,chjj (Christopher Jeffrey (JJ)),3522,San Francisco
63,ayende (Ayende Rahien),3444,Israel
64,mcollina (Matteo Collina),3385,In the clouds above Italy
65,mdo (Mark Otto),3367,"San Francisco, CA"
66,yoshuawuyts (Yoshua Wuyts),3319,"Berlin, Germany"
67,muan (Mu-An ✌️ Chiou),3309,"Taipei, Taiwan"
68,kentcdodds (Kent C. Dodds),3284,"Salt Lake City, Utah, USA"
69,jskeet (Jon Skeet),3273,"London, UK"
70,mitsuhiko (Armin Ronacher),3253,Austria
71,steveklabnik (Steve Klabnik),3240,Brooklyn
72,hzoo (Henry Zhu),3188,ATL -> NYC
73,Caged (Justin Palmer),3179,"Portland, OR"
74,dlew (Daniel Lew),3157,Minneapolis
75,technoweenie (risk danger olson),3156,"Louisville, CO"
76,gaearon (Dan Abramov),3155,"London, UK"
77,soumith (Soumith Chintala),3144,"New York, USA"
78,feross (Feross Aboukhadijeh),3130,"Mountain View, CA"
79,michalbe (Michał Budzyński),3103,"Warsaw, Poland"
80,brianleroux (Brian LeRoux),3102,"San Francisco, USA || Vancouver, Canada"
81,willdurand (William Durand),3094,Germany
82,alexjlockwood (Alex Lockwood),3083,"San Francisco, CA"
83,matsko (Matias Niemelä),3070,"San Francisco, California"
